Span-GenomeRelease	Span-Chromosome	Span-BeginBp	Span-EndBp	Span-Strand	Span-Score	Span-Name	GeneI	AbsDistanceBp	DistanceBp	Overlaps	Gene-GenomeRelease	Gene-Chromosome	Gene-BeginBp	Gene-EndBp	Gene-Strand	Gene-Score	Gene-Name	Span-Pvalue	Span-FDR	Span-ContentTag
mm9	chr1	21221818	21222032		0	chr1-21221818	1	8744	-8744	no	mm9	chr1	21230669	21255640	+	1	NM_010356:Gsta3			
mm9	chr1	21221818	21222032		0	chr1-21221818	2	8744	-8744	no	mm9	chr1	21230669	21255640	+	1	NM_001077353:Gsta3			
mm9	chr1	23852395	23852622		0	chr1-23852395	1	76620	76620	yes	mm9	chr1	23852465	23929128	-	1	NM_028534:Smap1			
mm9	chr1	23852395	23852622		0	chr1-23852395	2	83744	83744	yes	mm9	chr1	23768764	23854697	+	1	NM_172124:B3gat2			
mm9	chr1	24243249	24243483		0	chr1-24243249	1	58918	58918	yes	mm9	chr1	24184448	24259577	+	1	NM_007740:Col9a1			
mm9	chr1	31080157	31080326		0	chr1-31080157	1	73641	-73641	no	mm9	chr1	30997147	31006600	-	1	NM_011200:Ptp4a1			
mm9	chr1	31080157	31080326		0	chr1-31080157	2	73686	-73686	no	mm9	chr1	30998436	31006555	-	1	NR_002688:Gm13363			
mm9	chr1	31090732	31091020		0	chr1-31090732	1	84276	-84276	no	mm9	chr1	30997147	31006600	-	1	NM_011200:Ptp4a1			
mm9	chr1	31090732	31091020		0	chr1-31090732	2	84321	-84321	no	mm9	chr1	30998436	31006555	-	1	NR_002688:Gm13363			
mm9	chr1	34372381	34372564		0	chr1-34372381														
mm9	chr1	35987977	35988131		0	chr1-35987977														
mm9	chr1	36150688	36150867		0	chr1-36150688	1	25533	25533	yes	mm9	chr1	36125244	36163291	+	1	NM_015818:Hs6st1			
mm9	chr1	36305933	36306170		0	chr1-36305933	1	4904	-4904	no	mm9	chr1	36196872	36301147	-	1	NM_198899:Uggt1			
mm9	chr1	36940764	36940989		0	chr1-36940764	1	55496	55496	yes	mm9	chr1	36849033	36996372	-	1	NM_018872:Tmem131			
mm9	chr1	37082894	37083102		0	chr1-37082894	1	86626	-86626	no	mm9	chr1	36849033	36996372	-	1	NM_018872:Tmem131			
mm9	chr1	37098038	37098240		0	chr1-37098038														
mm9	chr1	37415816	37415996		0	chr1-37415816	1	10159	-10159	no	mm9	chr1	37426065	37461284	+	1	NM_172971:Inpp4a			
mm9	chr1	37415816	37415996		0	chr1-37415816	2	59169	59169	yes	mm9	chr1	37356737	37467580	+	1	NM_030266:Inpp4a			
mm9	chr1	37581050	37581242		0	chr1-37581050	1	11958	11958	yes	mm9	chr1	37496184	37593104	-	1	NM_173870:Mgat4a			
mm9	chr1	37625305	37625582		0	chr1-37625305	1	32339	-32339	no	mm9	chr1	37496184	37593104	-	1	NM_173870:Mgat4a			
mm9	chr1	37640786	37640957		0	chr1-37640786	1	47767	-47767	no	mm9	chr1	37496184	37593104	-	1	NM_173870:Mgat4a			
mm9	chr1	37673318	37673490		0	chr1-37673318	1	80300	-80300	no	mm9	chr1	37496184	37593104	-	1	NM_173870:Mgat4a			
mm9	chr1	37673318	37673490		0	chr1-37673318	2	103252	103252	yes	mm9	chr1	37668520	37776656	-	1	NM_028096:2010300C02Rik			
mm9	chr1	37735653	37735875		0	chr1-37735653	1	40892	40892	yes	mm9	chr1	37668520	37776656	-	1	NM_028096:2010300C02Rik			
mm9	chr1	38166700	38166867		0	chr1-38166700	1	19724	19724	yes	mm9	chr1	38109630	38186507	-	1	NM_019570:Rev1			
mm9	chr1	39337846	39338094		0	chr1-39337846	1	86725	-86725	no	mm9	chr1	39424695	39428755	+	1	NM_053257:Rpl31			
mm9	chr1	39337846	39338094		0	chr1-39337846	2	86725	-86725	no	mm9	chr1	39424695	39428755	+	1	NM_001252218:Rpl31			
mm9	chr1	39337846	39338094		0	chr1-39337846	3	86725	-86725	no	mm9	chr1	39424695	39428755	+	1	NM_001252219:Rpl31			
mm9	chr1	39337846	39338094		0	chr1-39337846	4	86854	86854	yes	mm9	chr1	39251116	39420085	+	1	NM_008719:Npas2			
mm9	chr1	39888362	39888552		0	chr1-39888362	1	15718	15718	no	mm9	chr1	39899272	39904175	-	1	NR_040465:1700066B17Rik			
mm9	chr1	40021378	40021589		0	chr1-40021378	1	63726	63726	yes	mm9	chr1	39957757	40083155	+	1	NM_008696:Map4k4			
mm9	chr1	40021378	40021589		0	chr1-40021378	2	63726	63726	yes	mm9	chr1	39957757	40083155	+	1	NM_001252200:Map4k4			
mm9	chr1	40021378	40021589		0	chr1-40021378	3	63726	63726	yes	mm9	chr1	39957757	40083155	+	1	NM_001252201:Map4k4			
mm9	chr1	40021378	40021589		0	chr1-40021378	4	63726	63726	yes	mm9	chr1	39957757	40083155	+	1	NM_001252202:Map4k4			
mm9	chr1	40251223	40251433		0	chr1-40251223	1	30596	-30596	no	mm9	chr1	40281924	40373022	+	1	NM_008362:Il1r1			
mm9	chr1	40770104	40770266		0	chr1-40770104	1	31629	31629	yes	mm9	chr1	40738556	40825730	+	1	NM_001033289:Slc9a2			
mm9	chr1	40887738	40887943		0	chr1-40887738	1	25395	25395	yes	mm9	chr1	40862445	40912112	+	1	NM_001081198:Tmem182			
mm9	chr1	40888050	40888338		0	chr1-40888050	1	25749	25749	yes	mm9	chr1	40862445	40912112	+	1	NM_001081198:Tmem182			
mm9	chr1	43209467	43209666		0	chr1-43209467	1	11240	11240	yes	mm9	chr1	43179918	43220806	-	1	NM_010212:Fhl2			
mm9	chr1	43211171	43211351		0	chr1-43211171	1	9545	9545	yes	mm9	chr1	43179918	43220806	-	1	NM_010212:Fhl2			
mm9	chr1	43260260	43260474		0	chr1-43260260	1	39561	-39561	no	mm9	chr1	43179918	43220806	-	1	NM_010212:Fhl2			
mm9	chr1	43501455	43501684		0	chr1-43501455	1	1026	-1026	no	mm9	chr1	43502595	43627363	+	1	NM_010879:Nck2			
mm9	chr1	43520893	43521065		0	chr1-43520893	1	18384	18384	yes	mm9	chr1	43502595	43627363	+	1	NM_010879:Nck2			
mm9	chr1	46185024	46185233		0	chr1-46185024	1	61546	61546	yes	mm9	chr1	46123582	46430395	+	1	NM_001160386:Dnahc7b			
mm9	chr1	51565452	51565703		0	chr1-51565452	1	30334	-30334	no	mm9	chr1	51526331	51535243	-	1	NM_028696:Obfc2a			
mm9	chr1	51839057	51839290		0	chr1-51839057	1	133645	133645	yes	mm9	chr1	51806609	51972818	-	1	NM_010863:Myo1b			
mm9	chr1	51839057	51839290		0	chr1-51839057	2	133645	133645	yes	mm9	chr1	51806609	51972818	-	1	NM_001161817:Myo1b			
mm9	chr1	51962997	51963192		0	chr1-51962997	1	9724	9724	yes	mm9	chr1	51806609	51972818	-	1	NM_010863:Myo1b			
mm9	chr1	51962997	51963192		0	chr1-51962997	2	9724	9724	yes	mm9	chr1	51806609	51972818	-	1	NM_001161817:Myo1b			
mm9	chr1	51991565	51991779		0	chr1-51991565	1	18854	-18854	no	mm9	chr1	51806609	51972818	-	1	NM_010863:Myo1b			
mm9	chr1	51991565	51991779		0	chr1-51991565	2	18854	-18854	no	mm9	chr1	51806609	51972818	-	1	NM_001161817:Myo1b			
mm9	chr1	52053558	52053777		0	chr1-52053558	1	11420	-11420	no	mm9	chr1	52065087	52164028	+	1	NM_011487:Stat4			
mm9	chr1	52740487	52740645		0	chr1-52740487	1	43596	43596	yes	mm9	chr1	52713147	52784162	-	1	NM_133829:Mfsd6			
mm9	chr1	52740487	52740645		0	chr1-52740487	2	43596	43596	yes	mm9	chr1	52716829	52784162	-	1	NM_178081:Mfsd6			
mm9	chr1	52740487	52740645		0	chr1-52740487	3	53018	53018	no	mm9	chr1	52687548	52708763	+	1	NR_024590:Tmem194b			
mm9	chr1	52740487	52740645		0	chr1-52740487	4	53018	53018	no	mm9	chr1	52687548	52708763	+	1	NM_001142647:Tmem194b			
mm9	chr1	52744582	52744810		0	chr1-52744582	1	39466	39466	yes	mm9	chr1	52713147	52784162	-	1	NM_133829:Mfsd6			
mm9	chr1	52744582	52744810		0	chr1-52744582	2	39466	39466	yes	mm9	chr1	52716829	52784162	-	1	NM_178081:Mfsd6			
mm9	chr1	52744582	52744810		0	chr1-52744582	3	57148	57148	no	mm9	chr1	52687548	52708763	+	1	NR_024590:Tmem194b			
mm9	chr1	52744582	52744810		0	chr1-52744582	4	57148	57148	no	mm9	chr1	52687548	52708763	+	1	NM_001142647:Tmem194b			
mm9	chr1	52784345	52784522		0	chr1-52784345	1	271	-271	no	mm9	chr1	52713147	52784162	-	1	NM_133829:Mfsd6			
mm9	chr1	52784345	52784522		0	chr1-52784345	2	271	-271	no	mm9	chr1	52716829	52784162	-	1	NM_178081:Mfsd6			
mm9	chr1	52791455	52791646		0	chr1-52791455	1	7388	-7388	no	mm9	chr1	52713147	52784162	-	1	NM_133829:Mfsd6			
mm9	chr1	52791455	52791646		0	chr1-52791455	2	7388	-7388	no	mm9	chr1	52716829	52784162	-	1	NM_178081:Mfsd6			
mm9	chr1	52822743	52822963		0	chr1-52822743	1	38691	-38691	no	mm9	chr1	52713147	52784162	-	1	NM_133829:Mfsd6			
mm9	chr1	52822743	52822963		0	chr1-52822743	2	38691	-38691	no	mm9	chr1	52716829	52784162	-	1	NM_178081:Mfsd6			
mm9	chr1	52822743	52822963		0	chr1-52822743	3	51679	51679	no	mm9	chr1	52846263	52874532	-	1	NM_008384:Inpp1			
mm9	chr1	54654059	54654315		0	chr1-54654059	1	39659	-39659	no	mm9	chr1	54529843	54614528	-	1	NM_001163314:Pgap1			
mm9	chr1	54657285	54657479		0	chr1-54657285	1	42854	-42854	no	mm9	chr1	54529843	54614528	-	1	NM_001163314:Pgap1			
mm9	chr1	55270426	55270657		0	chr1-55270426	1	13085	13085	yes	mm9	chr1	55227003	55283626	-	1	NM_028713:Rftn2			
mm9	chr1	55961033	55961228		0	chr1-55961033														
mm9	chr1	56351391	56351599		0	chr1-56351391														
mm9	chr1	56868315	56868518		0	chr1-56868315	1	159762	159762	yes	mm9	chr1	56850824	57028178	-	1	NM_139146:Satb2			
mm9	chr1	57909503	57909706		0	chr1-57909503	1	7190	7190	yes	mm9	chr1	57902414	58005241	+	1	NM_001164566:Spats2l			
mm9	chr1	57909503	57909706		0	chr1-57909503	2	77900	77900	yes	mm9	chr1	57831704	58005241	+	1	NM_144882:Spats2l			
mm9	chr1	58479917	58480108		0	chr1-58479917	1	920	920	yes	mm9	chr1	58468831	58480932	-	1	NR_027854:Clk1			
mm9	chr1	58479917	58480108		0	chr1-58479917	2	920	920	yes	mm9	chr1	58468831	58480932	-	1	NR_027853:Clk1			
mm9	chr1	58479917	58480108		0	chr1-58479917	3	920	920	yes	mm9	chr1	58468831	58480932	-	1	NM_001042634:Clk1			
mm9	chr1	59294229	59294401		0	chr1-59294229	1	240	-240	no	mm9	chr1	59219599	59294075	-	1	NM_028717:Als2			
mm9	chr1	59294229	59294401		0	chr1-59294229	2	240	-240	no	mm9	chr1	59248466	59294075	-	1	NM_146109:Als2			
mm9	chr1	59544885	59545077		0	chr1-59544885	1	5991	5991	no	mm9	chr1	59538990	59543799	+	1	NM_008057:Fzd7			
mm9	chr1	59560564	59560765		0	chr1-59560564	1	12443	-12443	no	mm9	chr1	59573107	59691353	+	1	NM_001013771:Gm973			
mm9	chr1	59974449	59974685		0	chr1-59974449	1	4718	4718	yes	mm9	chr1	59969849	60042190	+	1	NM_001037725:Fam117b			
mm9	chr1	60652934	60653182		0	chr1-60652934	1	29449	-29449	no	mm9	chr1	60540028	60623609	-	1	NM_001045513:Raph1			
mm9	chr1	60835660	60835821		0	chr1-60835660	1	32509	32509	no	mm9	chr1	60803231	60830203	+	1	NM_007642:Cd28			
mm9	chr1	61667291	61667513		0	chr1-61667291	1	17995	-17995	no	mm9	chr1	61685397	62688858	+	1	NM_001081050:Pard3b			
mm9	chr1	61783205	61783402		0	chr1-61783205	1	97906	97906	yes	mm9	chr1	61685397	62688858	+	1	NM_001081050:Pard3b			
mm9	chr1	61783680	61783884		0	chr1-61783680	1	98385	98385	yes	mm9	chr1	61685397	62688858	+	1	NM_001081050:Pard3b			
mm9	chr1	61980126	61980335		0	chr1-61980126	1	294833	294833	yes	mm9	chr1	61685397	62688858	+	1	NM_001081050:Pard3b			
mm9	chr1	62095242	62095460		0	chr1-62095242	1	409954	409954	yes	mm9	chr1	61685397	62688858	+	1	NM_001081050:Pard3b			
mm9	chr1	62683773	62683963		0	chr1-62683773	1	66022	-66022	no	mm9	chr1	62749890	62843665	+	1	NM_001077406:Nrp2			
mm9	chr1	62683773	62683963		0	chr1-62683773	2	66022	-66022	no	mm9	chr1	62749890	62843665	+	1	NM_001077407:Nrp2			
mm9	chr1	62683773	62683963		0	chr1-62683773	3	66022	-66022	no	mm9	chr1	62749890	62865266	+	1	NM_001077405:Nrp2			
mm9	chr1	62683773	62683963		0	chr1-62683773	4	66022	-66022	no	mm9	chr1	62749890	62865266	+	1	NM_010939:Nrp2			
mm9	chr1	62683773	62683963		0	chr1-62683773	5	66022	-66022	no	mm9	chr1	62749890	62865266	+	1	NM_001077404:Nrp2			
mm9	chr1	62683773	62683963		0	chr1-62683773	6	66022	-66022	no	mm9	chr1	62749890	62865266	+	1	NM_001077403:Nrp2			
mm9	chr1	62683773	62683963		0	chr1-62683773	7	998471	998471	yes	mm9	chr1	61685397	62688858	+	1	NM_001081050:Pard3b			
mm9	chr1	62963994	62964255		0	chr1-62963994														
mm9	chr1	63051619	63051777		0	chr1-63051619														
mm9	chr1	63066606	63066802		0	chr1-63066606	1	94137	94137	no	mm9	chr1	63094374	63160841	-	1	NM_001114609:Ino80d			
mm9	chr1	63066606	63066802		0	chr1-63066606	2	94137	94137	no	mm9	chr1	63094374	63160841	-	1	NM_001081436:Ino80d			
mm9	chr1	63223129	63223319		0	chr1-63223129	1	172	172	yes	mm9	chr1	63190165	63223396	-	1	NM_001160039:Ndufs1			
mm9	chr1	63223129	63223319		0	chr1-63223129	2	172	172	yes	mm9	chr1	63190165	63223396	-	1	NM_145518:Ndufs1			
mm9	chr1	63223129	63223319		0	chr1-63223129	3	172	172	yes	mm9	chr1	63190165	63223396	-	1	NM_001160038:Ndufs1			
mm9	chr1	63223129	63223319		0	chr1-63223129	4	172	172	yes	mm9	chr1	63190165	63223396	-	1	NM_001160040:Ndufs1			
mm9	chr1	63223129	63223319		0	chr1-63223129	5	180	-180	no	mm9	chr1	63223404	63227060	+	1	NM_018796:Eef1b2			
mm9	chr1	63999777	64000000		0	chr1-63999777	1	11412	-11412	no	mm9	chr1	64011300	64015573	+	1	NR_027824:Gm13749			
mm9	chr1	64083717	64083930		0	chr1-64083717	1	72523	72523	no	mm9	chr1	64011300	64015573	+	1	NR_027824:Gm13749			
mm9	chr1	64083717	64083930		0	chr1-64083717	2	84140	84140	yes	mm9	chr1	64082246	64167963	-	1	NM_033563:Klf7			
mm9	chr1	64784860	64785058		0	chr1-64784860	1	635	-635	no	mm9	chr1	64777131	64784324	-	1	NM_022721:Fzd5			
mm9	chr1	64784860	64785058		0	chr1-64784860	2	635	-635	no	mm9	chr1	64777131	64784324	-	1	NM_001042659:Fzd5			
mm9	chr1	64803269	64803436		0	chr1-64803269	1	19028	-19028	no	mm9	chr1	64777131	64784324	-	1	NM_022721:Fzd5			
mm9	chr1	64803269	64803436		0	chr1-64803269	2	19028	-19028	no	mm9	chr1	64777131	64784324	-	1	NM_001042659:Fzd5			
mm9	chr1	64843948	64844116		0	chr1-64843948	1	59708	-59708	no	mm9	chr1	64777131	64784324	-	1	NM_022721:Fzd5			
mm9	chr1	64843948	64844116		0	chr1-64843948	2	59708	-59708	no	mm9	chr1	64777131	64784324	-	1	NM_001042659:Fzd5			
mm9	chr1	64843948	64844116		0	chr1-64843948	3	159366	159366	yes	mm9	chr1	64835694	65003398	-	1	NM_001039493:Plekhm3			
mm9	chr1	64855771	64855996		0	chr1-64855771	1	71559	-71559	no	mm9	chr1	64777131	64784324	-	1	NM_022721:Fzd5			
mm9	chr1	64855771	64855996		0	chr1-64855771	2	71559	-71559	no	mm9	chr1	64777131	64784324	-	1	NM_001042659:Fzd5			
mm9	chr1	64855771	64855996		0	chr1-64855771	3	147515	147515	yes	mm9	chr1	64835694	65003398	-	1	NM_001039493:Plekhm3			
mm9	chr1	64906613	64906795		0	chr1-64906613	1	96694	96694	yes	mm9	chr1	64835694	65003398	-	1	NM_001039493:Plekhm3			
mm9	chr1	65223992	65224226		0	chr1-65223992	1	1607	1607	yes	mm9	chr1	65205189	65225716	-	1	NM_010497:Idh1			
mm9	chr1	65223992	65224226		0	chr1-65223992	2	8944	8944	yes	mm9	chr1	65205189	65233053	-	1	NM_001111320:Idh1			
mm9	chr1	65887804	65888010		0	chr1-65887804	1	85188	-85188	no	mm9	chr1	65973095	65974878	+	1	NM_027010:Crygf			
mm9	chr1	66844310	66844511		0	chr1-66844310	1	19759	19759	yes	mm9	chr1	66765816	66864169	-	1	NM_001122738:1110028C15Rik			
mm9	chr1	66844310	66844511		0	chr1-66844310	2	19759	19759	yes	mm9	chr1	66765816	66864169	-	1	NM_177645:1110028C15Rik			
mm9	chr1	66947665	66947864		0	chr1-66947665	1	34176	34176	no	mm9	chr1	66970869	66981940	-	1	NM_001113387:Myl1			
mm9	chr1	66947665	66947864		0	chr1-66947665	2	37923	-37923	no	mm9	chr1	66877426	66909841	-	1	NM_007381:Acadl			
mm9	chr1	66947665	66947864		0	chr1-66947665	3	43866	43866	no	mm9	chr1	66970869	66991630	-	1	NM_021285:Myl1			
mm9	chr1	66969699	66969899		0	chr1-66969699	1	12141	12141	no	mm9	chr1	66970869	66981940	-	1	NM_001113387:Myl1			
mm9	chr1	67043502	67043697		0	chr1-67043502	1	41809	41809	no	mm9	chr1	67047090	67085408	-	1	NM_001190984:Lancl1			
mm9	chr1	67043502	67043697		0	chr1-67043502	2	41847	41847	no	mm9	chr1	67047090	67085446	-	1	NM_021295:Lancl1			
mm9	chr1	67043502	67043697		0	chr1-67043502	3	41847	41847	no	mm9	chr1	67047090	67085446	-	1	NM_001190985:Lancl1			
mm9	chr1	67043502	67043697		0	chr1-67043502	4	51969	-51969	no	mm9	chr1	66970869	66991630	-	1	NM_021285:Myl1			
mm9	chr1	67043502	67043697		0	chr1-67043502	5	61659	-61659	no	mm9	chr1	66970869	66981940	-	1	NM_001113387:Myl1			
mm9	chr1	67150123	67150362		0	chr1-67150123	1	19397	-19397	no	mm9	chr1	67169639	67277022	+	1	NM_001080809:Cps1			
mm9	chr1	69491427	69491662		0	chr1-69491427														
mm9	chr1	69513200	69513415		0	chr1-69513200														
mm9	chr1	69517435	69517651		0	chr1-69517435														
mm9	chr1	69833415	69833595		0	chr1-69833415	1	40056	-40056	no	mm9	chr1	69873561	70771706	+	1	NM_029160:Spag16			
mm9	chr1	71190090	71190262		0	chr1-71190090	1	40630	-40630	no	mm9	chr1	71074108	71149546	-	1	NM_007525:Bard1			
mm9	chr1	71883928	71884095		0	chr1-71883928	1	50674	-50674	no	mm9	chr1	71934685	71937778	+	1	NR_027658:Gm8883			
mm9	chr1	71883928	71884095		0	chr1-71883928	2	50674	-50674	no	mm9	chr1	71934685	71937778	+	1	NR_027659:Gm8883			
mm9	chr1	72446351	72446582		0	chr1-72446351	1	92472	92472	no	mm9	chr1	72353994	72441527	+	1	NM_009533:Xrcc5			
mm9	chr1	74232010	74232220		0	chr1-74232010	1	9090	9090	no	mm9	chr1	74238359	74241205	-	1	NM_178241:Cxcr1			
mm9	chr1	74773269	74773482		0	chr1-74773269	1	13228	13228	yes	mm9	chr1	74760147	74784464	+	1	NM_024264:Cyp27a1			
mm9	chr1	74947588	74947778		0	chr1-74947588	1	388	-388	no	mm9	chr1	74947231	74947295	-	1	NR_029876:Mir375			
mm9	chr1	75016913	75017102		0	chr1-75016913	1	18782	-18782	no	mm9	chr1	74991891	74998225	-	1	NM_010544:Ihh			
mm9	chr1	75016913	75017102		0	chr1-75016913	2	104793	104793	yes	mm9	chr1	75013919	75121800	-	1	NM_029342:Nhej1			
mm9	chr1	75018328	75018498		0	chr1-75018328	1	20188	-20188	no	mm9	chr1	74991891	74998225	-	1	NM_010544:Ihh			
mm9	chr1	75018328	75018498		0	chr1-75018328	2	103387	103387	yes	mm9	chr1	75013919	75121800	-	1	NM_029342:Nhej1			
mm9	chr1	75056836	75057091		0	chr1-75056836	1	58738	-58738	no	mm9	chr1	74991891	74998225	-	1	NM_010544:Ihh			
mm9	chr1	75056836	75057091		0	chr1-75056836	2	64837	64837	yes	mm9	chr1	75013919	75121800	-	1	NM_029342:Nhej1			
mm9	chr1	75056836	75057091		0	chr1-75056836	3	73501	73501	no	mm9	chr1	75122115	75130464	-	1	NM_194333:Slc23a3			
mm9	chr1	75056836	75057091		0	chr1-75056836	4	74790	-74790	no	mm9	chr1	74948653	74982173	-	1	NM_001039495:Ccdc108			
mm9	chr1	75056836	75057091		0	chr1-75056836	5	81979	81979	no	mm9	chr1	75131788	75138942	-	1	NM_026977:1810031K17Rik			
mm9	chr1	75056836	75057091		0	chr1-75056836	6	82396	-82396	no	mm9	chr1	75139359	75144483	+	1	NM_170755:Fam134a			
mm9	chr1	75060940	75061120		0	chr1-75060940	1	60770	60770	yes	mm9	chr1	75013919	75121800	-	1	NM_029342:Nhej1			
mm9	chr1	75060940	75061120		0	chr1-75060940	2	62805	-62805	no	mm9	chr1	74991891	74998225	-	1	NM_010544:Ihh			
mm9	chr1	75060940	75061120		0	chr1-75060940	3	69434	69434	no	mm9	chr1	75122115	75130464	-	1	NM_194333:Slc23a3			
mm9	chr1	75060940	75061120		0	chr1-75060940	4	77912	77912	no	mm9	chr1	75131788	75138942	-	1	NM_026977:1810031K17Rik			
mm9	chr1	75060940	75061120		0	chr1-75060940	5	78329	-78329	no	mm9	chr1	75139359	75144483	+	1	NM_170755:Fam134a			
mm9	chr1	75060940	75061120		0	chr1-75060940	6	78857	-78857	no	mm9	chr1	74948653	74982173	-	1	NM_001039495:Ccdc108			
mm9	chr1	75138839	75139035		0	chr1-75138839	1	5	5	yes	mm9	chr1	75131788	75138942	-	1	NM_026977:1810031K17Rik			
mm9	chr1	75211199	75211435		0	chr1-75211199	1	3914	3914	yes	mm9	chr1	75207403	75212181	+	1	NM_011494:Stk16			
mm9	chr1	75211199	75211435		0	chr1-75211199	2	3964	-3964	no	mm9	chr1	75194809	75207353	-	1	NM_029010:Glb1l			
mm9	chr1	75211199	75211435		0	chr1-75211199	3	4511	4511	no	mm9	chr1	75211548	75215828	-	1	NM_009447:Tuba4a			
mm9	chr1	75334473	75334688		0	chr1-75334473	1	20368	-20368	no	mm9	chr1	75305139	75314212	-	1	NM_001110831:Dnpep			
mm9	chr1	75334473	75334688		0	chr1-75334473	2	20988	-20988	no	mm9	chr1	75305139	75313592	-	1	NM_016878:Dnpep			
mm9	chr1	75334473	75334688		0	chr1-75334473	3	22338	-22338	no	mm9	chr1	75356918	75364290	+	1	NM_010043:Des			
mm9	chr1	77438718	77438890		0	chr1-77438718	1	72859	72859	yes	mm9	chr1	77363759	77511663	-	1	NM_007936:Epha4			
mm9	chr1	77472449	77472625		0	chr1-77472449	1	39126	39126	yes	mm9	chr1	77363759	77511663	-	1	NM_007936:Epha4			
mm9	chr1	78316978	78317149		0	chr1-78316978	1	10143	10143	yes	mm9	chr1	78306920	78416861	+	1	NM_001004173:Sgpp2			
mm9	chr1	78480027	78480263		0	chr1-78480027	1	5276	5276	yes	mm9	chr1	78421410	78485421	-	1	NM_011811:Farsb			
mm9	chr1	78641164	78641383		0	chr1-78641164	1	13126	-13126	no	mm9	chr1	78654399	78664176	+	1	NM_001001981:Utp14b			
mm9	chr1	78641164	78641383		0	chr1-78641164	2	13126	-13126	no	mm9	chr1	78654399	78704318	+	1	NM_001136222:Acsl3			
mm9	chr1	78641164	78641383		0	chr1-78641164	3	13126	-13126	no	mm9	chr1	78654399	78704318	+	1	NM_028817:Acsl3			
